,Chromosome size,Population size,Max. gens,No. objectives,Obj. 1 name,Objective 1,Obj. 2 name,Objective 2,Time,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
0,10,10,100,2,Time,0.05053205400656302,Nodes on fire,0.09196980433879987,4.770287036895752,"[0.5933839824912285, 0.8443251908139072, 0.0849737987476391, 0.7788838860457264, 0.5492097695613247]","[0.5056842608745716, 0.918369080481793, 0.9225851618015415, 0.9581825890786162, 0.07770589407299566]","[0.5954462252454997, 0.8336958237300153, 0.3375431672953453, 0.021746949085167833, 0.9757931442217767]","[0.9448527159870677, 0.4431104277827388, 0.6642523995663294, 0.5770281527749573, 0.49311710307284096]","[0.5570513949978008, 0.6344966793348241, 0.6080550711611481, 0.7952221536284162, 0.6544608026031434]","[0.11938026640781219, 0.5118917754646081, 0.5469238073891344, 0.21375411858443671, 0.5790894797773972]","[0.04683700139854641, 0.2154390218464156, 0.32786372447257284, 0.5147034306443649, 0.25926657944655485]","[0.7472519860856941, 0.8306300217525994, 0.4223359725941891, 0.7485718099959936, 0.1645200920789568]","[0.8594246614547869, 0.0541413959232524, 0.08663621081296002, 0.28725519152491563, 0.7313454575115576]","[0.8986346837726231, 0.4486393977901739, 0.7949088267237147, 0.8724502507873805, 0.16834494649429044]",GDEG,LDEG,LDEG,GDEG,GDEG,GDEG,LDEG,GDEG,GDEG,GDEG
1,10,10,100,2,Time,0.01906848405331707,Nodes on fire,0.10933023399210917,4.770287036895752,"[0.7308069571640747, 0.22020906651318206, 0.37584623959340524, 0.07481472807325573, 0.7733781213428724]","[0.4526894755059362, 0.73116495922475, 0.38640001517899714, 0.13842182244993306, 0.26285755320192294]","[0.5212643164484005, 0.13901004873773892, 0.7351075824574621, 0.44505094652408783, 0.6928351774277988]","[0.8977380707293439, 0.4164248414968348, 0.9718706733583804, 0.7357056262275791, 0.9889387752300696]","[0.28856760631276923, 0.3194470313953178, 0.25506403679482237, 0.022514812594031763, 0.6517879973385983]","[0.3507964826060095, 0.20014595758414366, 0.37433211354189666, 0.12680240693239497, 0.252126663874916]","[0.5581203653793542, 0.10883897413884525, 0.5102163499565369, 0.047246292512341026, 0.08363431300018465]","[0.3017438780375691, 0.7269453325827978, 0.07268981910673045, 0.8509697201951154, 0.08201100504510495]","[0.29641867167790514, 0.5280350199481246, 0.2489457622404374, 0.06935719755591474, 0.6601264180301033]","[0.1932198512114054, 0.7713114981926484, 0.24060346919814812, 0.8570497007263602, 0.7206541214365528]",LDEG,LDEG,GDEG,GDEG,GDEG,LDEG,GDEG,GDEG,GDEG,LDEG
2,10,10,100,2,Time,0.06752998749340522,Nodes on fire,0.024230274466676027,4.770287036895752,"[0.02564419936557083, 0.4439131697703008, 0.06314918639145162, 0.2277036644548126, 0.5002600238984193]","[0.04371483009294963, 0.5430069856137243, 0.39545688360664444, 0.29631502448990876, 0.5462995648342106]","[0.04015334865263842, 0.037132559808523036, 0.2252614226871048, 0.37664563109574434, 0.9341130330508222]","[0.12822391443213288, 0.33149325441374966, 0.14192592637529988, 0.872915664806105, 0.5793787876760513]","[0.03716604650616673, 0.5405900122532513, 0.48900989289848273, 0.9937508403056399, 0.4312876548314215]","[0.9725602735477148, 0.313817812735675, 0.5364278523400446, 0.7941729702002067, 0.1909607431082514]","[0.7017065148763949, 0.6437859732080802, 0.35252436153750055, 0.9442549392704117, 0.12024454347627078]","[0.8161287495369998, 0.7272065200094567, 0.23461495835789048, 0.8482293861636454, 0.06496421892614579]","[0.9687738968378041, 0.8290364317656268, 0.8897523415941511, 0.09024080658102163, 0.8493844566446315]","[0.9411407065832371, 0.05506746637378068, 0.24149899390492635, 0.08131032654052839, 0.8712899421728665]",LDEG,GDEG,GDEG,GDEG,LDEG,GDEG,LDEG,GDEG,GDEG,GDEG
3,10,10,100,2,Time,0.0018512224836803037,Nodes on fire,0.33135889189721623,4.770287036895752,"[0.03743180111468214, 0.7413710276825572, 0.28118466249889196, 0.878796363641025, 0.48117104235680674]","[0.8439721150931908, 0.03170145716416073, 0.7534675698937522, 0.9133679063514575, 0.330222800131001]","[0.4622033386221772, 0.8719146291917101, 0.02448533527846597, 0.99665289564854, 0.7817330336125324]","[0.35985773602308513, 0.3262211269166344, 0.5399004403729534, 0.7614817773603743, 0.7047579224794669]","[0.8597670135317277, 0.4480344571117064, 0.010996174999659991, 0.9333024069252351, 0.8572554320492787]","[0.07240231366515237, 0.16135444812037048, 0.907428521307221, 0.61571779003914, 0.05477432224072798]","[0.5796768082160197, 0.5830073009481761, 0.08487329134875754, 0.6265491442185952, 0.23473883996967793]","[0.12331812593786595, 0.8768280134827646, 0.3715812169524081, 0.3372699361773669, 0.1034783449782084]","[0.560778615513627, 0.7964800199066231, 0.3013567471005236, 0.8260573008430672, 0.7500200710692766]","[0.16848834504387222, 0.18924708560327408, 0.961912722902656, 0.2642943677420574, 0.19742611598633175]",GDEG,LDEG,GDEG,GDEG,GDEG,GDEG,LDEG,GDEG,GDEG,GDEG
4,10,10,100,2,Time,0.3448656203288484,Nodes on fire,0.003477444686067477,4.770287036895752,"[0.5795940104805096, 0.3189634244915349, 0.4139009198766337, 0.7867673904587115, 0.5507270522597434]","[0.1579476304919899, 0.2437000102621356, 0.5749524045520389, 0.5573726437124563, 0.9820575324623353]","[0.26293650997067997, 0.5813303124426293, 0.7612787187121379, 0.7521180491206751, 0.13842061035665176]","[0.6491573832434073, 0.5563965542429469, 0.8775125865980002, 0.6064404403273164, 0.02655393183759136]","[0.5859208080536281, 0.7237269514562682, 0.062165915417438766, 0.03914878459605198, 0.49347798696435485]","[0.7628336408699393, 0.2895923414478223, 0.04596891645615031, 0.10169620644678534, 0.33265590363631026]","[0.19377659634487499, 0.16118303838461168, 0.5067913008194247, 0.050197619082930744, 0.19563086588107736]","[0.3277805213388565, 0.20319201280753596, 0.05704443202394471, 0.5586088249487213, 0.7517342374937316]","[0.5992989315995705, 0.16294467544976843, 0.5858738832652409, 0.4802715612473739, 0.41700357192666504]","[0.6858746612779106, 0.7174703666179634, 0.40298505207207713, 0.23842657341968243, 0.6333773845884285]",LDEG,GDEG,LDEG,GDEG,LDEG,GDEG,LDEG,GDEG,GDEG,GDEG
5,10,10,100,2,Time,0.15238287567166342,Nodes on fire,0.0036634007827212045,4.770287036895752,"[0.702186614979263, 0.780379718313539, 0.408104598934513, 0.10091156848772065, 0.851746602462059]","[0.6566478117061494, 0.7123416153587288, 0.5861861591995448, 0.17188695323676462, 0.6733764256021999]","[0.5897780929046514, 0.7579057093777397, 0.877134045534771, 0.8130732310437013, 0.5952898694681131]","[0.04924974090999534, 0.8853410855808959, 0.1539434573054571, 0.4995465340470753, 0.5216276221983095]","[0.6912056591974153, 0.8957561299430651, 0.2861860916492889, 0.850211785771355, 0.8677286404737484]","[0.9186384418088042, 0.6953848703978752, 0.7294939964174724, 0.4859411928810399, 0.5853177443900939]","[0.9641013862330846, 0.4459369822233967, 0.41280464567063935, 0.35724889003343174, 0.2394791994435097]","[0.08630493494426339, 0.24788858136758307, 0.6842265619636881, 0.06532139880566468, 0.8577433215286535]","[0.5855264817316369, 0.9056130329243937, 0.9691486728590436, 0.8880848382593217, 0.5611331757689246]","[0.2445330032667805, 0.2492905079885115, 0.12698612220479188, 0.2902793568049279, 0.4778502643407372]",GDEG,GDEG,GDEG,GDEG,GDEG,GDEG,LDEG,GDEG,GDEG,GDEG
6,10,10,100,2,Time,0.006957636749702734,Nodes on fire,0.25136131006548323,4.770287036895752,"[0.02661260660515663, 0.6130486246414205, 0.6941337618261707, 0.8131907198605638, 0.7647002200652472]","[0.1106551027200463, 0.5801044980292229, 0.5410297650378393, 0.29761737460995463, 0.9722109613826152]","[0.8513378546414005, 0.835464795556887, 0.30360136246569047, 0.7557472333135691, 0.857906907491692]","[0.9177798055612109, 0.2930528671821532, 0.15066439767580098, 0.005417144026674481, 0.4823332823383488]","[0.5724168767705884, 0.5358633160126586, 0.3654633261336163, 0.3539645509567092, 0.6423699830240672]","[0.2451091378060587, 0.2346385955617687, 0.10088714597561199, 0.4659660326887737, 0.2076927988505326]","[0.4034604853074498, 0.5090952291173177, 0.11339279693518722, 0.38631141378374156, 0.2860807550529364]","[0.3276486622525333, 0.6719759083413763, 0.0352936337883516, 0.6752677213936468, 0.3819928305018482]","[0.4654929481647152, 0.4795496688476133, 0.7620803827101087, 0.49193608964348634, 0.9176925995322127]","[0.3743199284407839, 0.03774389992145355, 0.18992464652522467, 0.0026336394374757433, 0.1257738435961363]",LDEG,GDEG,GDEG,GDEG,GDEG,GDEG,GDEG,GDEG,GDEG,GDEG
7,10,10,100,2,Time,0.09080310209158649,Nodes on fire,0.012518470381517877,4.770287036895752,"[0.7721048806352835, 0.8107581213251713, 0.2932155717923257, 0.7975341104998336, 0.2647369863917436]","[0.23611541254755908, 0.22847355967920246, 0.5691911662799852, 0.4411819121848257, 0.8247344115149493]","[0.007026563496487559, 0.9718650383746371, 0.7373394034435713, 0.8161561597375433, 0.025226846473975773]","[0.002745786733948319, 0.20231160228731093, 0.036126660807879074, 0.7517882441311932, 0.7318345547492172]","[0.5726674279954912, 0.9211450557113631, 0.021414515489794006, 0.08009081955757258, 0.9234638857081716]","[0.9163890542880736, 0.7178436627767241, 0.9028406591633678, 0.19534472978075612, 0.2233543146947008]","[0.7914894722242524, 0.06380580487810716, 0.7129269594768437, 0.4970097019305263, 0.5491993869955896]","[0.5936302395498425, 0.5935092913357395, 0.33365862701295534, 0.3151962653182502, 0.22404097228426123]","[0.43667532602734227, 0.3600151230866683, 0.14842578979829457, 0.9750229980005102, 0.48418299470331694]","[0.8696274040464199, 0.9763247308709782, 0.377499779945365, 0.6344312898128355, 0.3042900477235254]",LDEG,GDEG,GDEG,LDEG,LDEG,LDEG,GDEG,GDEG,GDEG,GDEG
8,10,10,100,2,Time,0.02099325556917242,Nodes on fire,0.10438740040798267,4.770287036895752,"[0.7903564565417246, 0.5110776753301063, 0.19076759691869916, 0.7425764027989593, 0.5957559712820283]","[0.050752937133480724, 0.7476299153724613, 0.7456585061256092, 0.005077058205710139, 0.2605693659391055]","[0.16256016919920213, 0.0526574238058487, 0.9670530136070695, 0.04737982504603433, 0.42060421078539656]","[0.2855577023444801, 0.019927161750713518, 0.5699408903368748, 0.7169566844858946, 0.5073675453282888]","[0.4582526905671255, 0.5717764241013945, 0.057642960057277315, 0.3510511932983139, 0.39933528972303733]","[0.9482707332212529, 0.1600977861008046, 0.6717579700774079, 0.7619898446980725, 0.4716708736993809]","[0.5913936894183908, 0.8828843801811298, 0.5698769132568862, 0.6465381397524786, 0.5227912780132928]","[0.2379815055540031, 0.3650261352976537, 0.8958260441970148, 0.41716326975582974, 0.031130957351209965]","[0.7461340163569188, 0.8345789216081928, 0.20755166007041181, 0.7104536849249357, 0.8505205663834902]","[0.13267176514618106, 0.8435459160339774, 0.2993648547402701, 0.3078771163455085, 0.036711555944465624]",LDEG,GDEG,GDEG,GDEG,LDEG,LDEG,GDEG,GDEG,GDEG,GDEG
9,10,10,100,2,Time,0.06035511546535022,Nodes on fire,0.08026762478366312,4.770287036895752,"[0.08846140330411212, 0.011894400736867095, 0.839559949855179, 0.14713582252629243, 0.5914951923549054]","[0.5490449422138464, 0.8787300326812684, 0.13190584441377207, 0.41337625242235465, 0.8672942264173903]","[0.944412873939691, 0.7945535489772805, 0.30909592142762854, 0.12250643470070932, 0.347804368678131]","[0.07271194111302404, 0.06138772964347661, 0.8263508410123808, 0.07804793580845792, 0.5010134912287595]","[0.8628130567870125, 0.021110118992363813, 0.7198495787877414, 0.7628437729723578, 0.23754417360759394]","[0.1719383041273017, 0.12380373928249455, 0.2982754334603378, 0.7664432102121529, 0.1841277581102202]","[0.948883436723495, 0.6040753064720243, 0.2730295160514765, 0.7490334046015914, 0.1724431173512796]","[0.5006736452089638, 0.7133310353788747, 0.6237925068944692, 0.7803152933057719, 0.6332587284956588]","[0.039598372591030606, 0.12657858603605987, 0.8431391109224345, 0.28031243604092304, 0.721473126237364]","[0.050846038032085206, 0.4125412864705146, 0.1965650520612523, 0.452026675886658, 0.6717383164542312]",LDEG,LDEG,GDEG,GDEG,GDEG,GDEG,GDEG,LDEG,GDEG,GDEG
