,Chromosome size,Population size,Max. gens,No. objectives,Obj. 1 name,Objective 1,Obj. 2 name,Objective 2,Time,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25
0,25,50,50,2,Time,0.001,Nodes on fire,0.0,1204.3909571170807,"[0.007501501501501502, 0.00750800850900951, 0.001, 1.001001001001001e-06, 0.001]",['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],LDEG,LDEG,LDEG,GDEG,LDEG,LDEG,GDEG,GDEG,LDEG,LDEG,GDEG,LDEG,GDEG,LDEG,GDEG,GDEG,GDEG,GDEG,LDEG,LDEG,LDEG,LDEG,LDEG,LDEG,GDEG
1,25,50,50,2,Time,0.001,Nodes on fire,0.0,1204.3909571170807,"[0.007501501501501502, 0.00750800850900951, 0.001, 1.001001001001001e-06, 0.001]",['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],LDEG,GDEG,LDEG,GDEG,LDEG,LDEG,GDEG,GDEG,LDEG,GDEG,GDEG,GDEG,LDEG,GDEG,GDEG,GDEG,GDEG,GDEG,GDEG,LDEG,LDEG,GDEG,LDEG,LDEG,GDEG
2,25,50,50,2,Time,0.001,Nodes on fire,0.0,1204.3909571170807,"[0.007501501501501502, 0.00750800850900951, 0.001, 1.001001001001001e-06, 0.001]",['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],LDEG,GDEG,LDEG,GDEG,LDEG,LDEG,GDEG,GDEG,LDEG,LDEG,GDEG,LDEG,GDEG,LDEG,LDEG,GDEG,LDEG,LDEG,GDEG,GDEG,LDEG,LDEG,LDEG,LDEG,LDEG
3,25,50,50,2,Time,0.001,Nodes on fire,0.0,1204.3909571170807,"[0.007501501501501502, 0.00750800850900951, 0.001, 1.001001001001001e-06, 0.001]",['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],LDEG,LDEG,LDEG,GDEG,LDEG,GDEG,GDEG,GDEG,LDEG,GDEG,LDEG,LDEG,GDEG,GDEG,GDEG,GDEG,GDEG,GDEG,GDEG,LDEG,LDEG,LDEG,LDEG,GDEG,GDEG
4,25,50,50,2,Time,0.001,Nodes on fire,0.0,1204.3909571170807,"[0.007501501501501502, 0.00750800850900951, 0.001, 1.001001001001001e-06, 0.001]",['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],GDEG,LDEG,LDEG,LDEG,LDEG,LDEG,GDEG,LDEG,LDEG,LDEG,GDEG,LDEG,GDEG,LDEG,GDEG,GDEG,LDEG,GDEG,GDEG,LDEG,LDEG,GDEG,GDEG,LDEG,GDEG
5,25,50,50,2,Time,0.001,Nodes on fire,0.0,1204.3909571170807,"[0.007501501501501502, 0.00750800850900951, 0.001, 1.001001001001001e-06, 0.001]",['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],GDEG,GDEG,GDEG,LDEG,LDEG,LDEG,GDEG,GDEG,GDEG,LDEG,LDEG,GDEG,LDEG,LDEG,LDEG,LDEG,LDEG,LDEG,GDEG,LDEG,GDEG,GDEG,GDEG,GDEG,GDEG
6,25,50,50,2,Time,0.001,Nodes on fire,0.0,1204.3909571170807,"[0.007501501501501502, 0.00750800850900951, 0.001, 1.001001001001001e-06, 0.001]",['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],LDEG,GDEG,LDEG,LDEG,LDEG,LDEG,GDEG,GDEG,GDEG,GDEG,GDEG,LDEG,GDEG,LDEG,LDEG,LDEG,LDEG,LDEG,GDEG,LDEG,LDEG,GDEG,LDEG,GDEG,LDEG
7,25,50,50,2,Time,0.001,Nodes on fire,0.0,1204.3909571170807,"[0.007501501501501502, 0.00750800850900951, 0.001, 1.001001001001001e-06, 0.001]",['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],LDEG,GDEG,LDEG,LDEG,LDEG,GDEG,GDEG,GDEG,GDEG,LDEG,LDEG,LDEG,LDEG,LDEG,GDEG,LDEG,LDEG,LDEG,GDEG,GDEG,LDEG,LDEG,GDEG,LDEG,LDEG
8,25,50,50,2,Time,0.001,Nodes on fire,0.0,1204.3909571170807,"[0.007501501501501502, 0.00750800850900951, 0.001, 1.001001001001001e-06, 0.001]",['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],GDEG,GDEG,LDEG,GDEG,LDEG,GDEG,GDEG,LDEG,GDEG,LDEG,GDEG,LDEG,GDEG,GDEG,GDEG,GDEG,LDEG,LDEG,GDEG,GDEG,GDEG,GDEG,LDEG,LDEG,GDEG
9,25,50,50,2,Time,0.001,Nodes on fire,0.0,1204.3909571170807,"[0.007501501501501502, 0.00750800850900951, 0.001, 1.001001001001001e-06, 0.001]",['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],['Z'],LDEG,GDEG,LDEG,GDEG,LDEG,LDEG,GDEG,LDEG,LDEG,GDEG,GDEG,LDEG,LDEG,GDEG,GDEG,GDEG,LDEG,LDEG,GDEG,GDEG,GDEG,GDEG,LDEG,GDEG,GDEG
